scorer,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000,DLC_resnet50_SalamanderApr18shuffle1_12000
bodyparts,topjoint,topjoint,topjoint,torso1,torso1,torso1,torso2,torso2,torso2,torso3,torso3,torso3,bottomjoint,bottomjoint,bottomjoint
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,326.4471740722656,271.5559997558594,0.8935922384262085,299.96087646484375,239.98057556152344,0.8608980178833008,271.0924987792969,222.2875518798828,0.7888643741607666,230.52703857421875,210.32904052734375,0.9543688893318176,194.34832763671875,213.2969512939453,0.9623188972473145
9,274.41595458984375,247.1036834716797,0.9842350482940674,248.9092559814453,253.5986785888672,0.9223363399505615,226.6982421875,261.0199279785156,0.9259139895439148,201.65457153320312,266.9688415527344,0.9469643831253052,178.55796813964844,284.45941162109375,0.942162036895752
10,364.6877136230469,235.9130859375,0.9365593194961548,332.5439453125,231.05992126464844,0.9237108826637268,298.0096740722656,224.4739227294922,0.9040754437446594,263.8963317871094,223.4853057861328,0.8613448143005371,232.95822143554688,227.52452087402344,0.9259759187698364
11,339.12939453125,236.30149841308594,0.9841846823692322,305.5080871582031,240.5848846435547,0.9568157196044922,271.7972106933594,241.85684204101562,0.8967567682266235,243.61074829101562,241.7073974609375,0.9558221101760864,214.48179626464844,241.3123016357422,0.9327032566070557
12,308.43597412109375,233.8175811767578,0.9834966659545898,280.9539489746094,238.18505859375,0.8575237989425659,258.0458679199219,243.5789337158203,0.9005707502365112,233.83163452148438,258.8077087402344,0.9131759405136108,215.04159545898438,280.7330322265625,0.9702275991439819
13,370.87445068359375,273.2364807128906,0.9923153519630432,330.4363708496094,274.96844482421875,0.9622184038162231,294.7015380859375,273.5584716796875,0.9553853273391724,251.45486450195312,275.30145263671875,0.9622647762298584,212.04556274414062,280.6014404296875,0.7566828727722168
14,320.22637939453125,245.30015563964844,0.7391791343688965,292.5225830078125,241.91200256347656,0.8208125829696655,263.39324951171875,231.8823699951172,0.8469254970550537,229.20809936523438,226.86532592773438,0.7721042633056641,202.85618591308594,228.86370849609375,0.9667859077453613
15,306.2494812011719,250.0575408935547,0.23701465129852295,274.41400146484375,243.84353637695312,0.8197529911994934,251.06422424316406,251.4261474609375,0.6196540594100952,227.4392852783203,255.66693115234375,0.7225069403648376,204.01002502441406,268.35296630859375,0.9322061538696289
16,313.91461181640625,266.2076416015625,0.7086583375930786,289.7432556152344,268.75225830078125,0.49605226516723633,273.218994140625,266.6606140136719,0.466251403093338,243.89312744140625,265.9405212402344,0.8434208631515503,213.9762420654297,261.3600158691406,0.914725661277771
17,278.1406555175781,282.320068359375,0.2696114480495453,161.8120880126953,275.47174072265625,0.2673878073692322,251.7592315673828,274.7579040527344,0.030609875917434692,284.63037109375,279.2386474609375,0.07014349102973938,205.5653839111328,278.93719482421875,0.05486014485359192
18,252.28977966308594,219.91390991210938,0.11894732713699341,234.86648559570312,221.82073974609375,0.20154082775115967,232.87210083007812,222.39013671875,0.04856911301612854,250.74984741210938,218.80165100097656,0.0368993878364563,251.50416564941406,218.89491271972656,0.03879588842391968
19,314.5009460449219,266.0351257324219,0.21358534693717957,283.07574462890625,253.9450225830078,0.5460450649261475,243.61553955078125,251.264404296875,0.8305103778839111,211.89564514160156,253.13314819335938,0.8394343256950378,186.16786193847656,256.41290283203125,0.9205347299575806
20,292.15618896484375,273.26947021484375,0.5603947043418884,273.8590087890625,276.00836181640625,0.3160930871963501,256.59185791015625,277.50164794921875,0.24807733297348022,238.42288208007812,275.3119812011719,0.27199533581733704,218.55116271972656,275.14349365234375,0.7326027750968933
